variable,source_id,unit,definition,role,missing,imputation
state_fips,project,two-character FIPS,Canonical 50-state code,key,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
year,census_bps,code or source label,Original Census year,audit_only,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
state,project,state name,Canonical state name,key,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
target_source_token,usgs,text,Original Quantity token including W,quality,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
crushed_stone_sold_used_metric_tons,usgs,metric tons,Crushed stone quantities sold or used; first-sale/use geography,target,23,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
target_withheld,usgs,boolean,Quantity token equals W,quality,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
target_includes_agency_estimates,usgs,boolean,Source methodology includes estimation; row share unknown,quality,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
housing_units_authorized,census_bps,housing units,Sum of estimated units in 1/2/3-4/5+ categories,primary,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
housing_units_reported,census_bps,housing units,Sum of reported-only units; exclude from primary total,sensitivity,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
permits_include_census_imputation,census_bps,boolean,Published estimated totals can include imputation; row share unknown,quality,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
permits_universe_change,census_bps,boolean,2023 annual universe methodology flag,quality,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
fhwa_state_token,fhwa_legacy,source text,Original state name including footnote markers,lineage,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
highway_capital_outlays_nominal_thousand_usd,fhwa_legacy,thousands of current USD,Published SF-4C total; retain older-year flags,source_value,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
highway_construction_preservation_nominal_thousand_usd,fhwa_legacy,thousands of current USD,SF-4C construction/preservation component,sensitivity,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
fhwa_reported_year,fhwa_flags,year,Actual reported year from table footnote; otherwise table year,lineage,0,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
fhwa_footnote,fhwa_flags,source footnote code,Earlier-year footnote number; missing means no flagged mismatch,lineage,442,No project imputation except explicitly flagged zero-completed MSHA aggregates; agency estimation as documented
